Ecosystem,Package Name,URL,Latest Version,Latest Version Updated,Source,Excluded,Criticality Score,Analysis Date,Results
maven,ch.qos.logback:logback-classic,,,,Harvard Census II,,,,
maven,ch.qos.logback:logback-core,,,,Harvard Census II,,,,
maven,clover:clover,,,,Harvard Census II,,,,
maven,cobertura:cobertura,,,,Harvard Census II,,,,
maven,com.alibaba:dubbo-remoting-netty,,,,Harvard Census II,,,,
maven,com.amazonaws:aws-java-sdk,,,,Harvard Census II,,,,
maven,com.amazonaws:aws-java-sdk-kms,,,,Harvard Census II,,,,
maven,com.amazonaws:aws-java-sdk-s3,,,,Harvard Census II,,,,
maven,com.beust:jcommander,,,,Harvard Census II,,,,
maven,com.esotericsoftware:minlog,,,,Harvard Census II,,,,
maven,com.fasterxml:classmate,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.core:jackson-annotations,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.core:jackson-core,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.core:jackson-databind,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.datatype:jackson-datatype-jdk8,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.module:jackson-module-jaxb-annotations,,,,Harvard Census II,,,,
maven,com.fasterxml.jackson.module:jackson-module-parameter-names,,,,Harvard Census II,,,,
maven,com.force.api:force-wsc,,,,Harvard Census II,,,,
maven,com.github.ben-manes.caffeine:caffeine,,,,Harvard Census II,,,,
maven,com.github.stephenc.jcip:jcip-annotations,,,,Harvard Census II,,,,
maven,com.google.android:annotations,,,,Harvard Census II,,,,
maven,com.google.api.grpc:proto-google-common-protos,,,,Harvard Census II,,,,
maven,com.google.cloud.sql:mysql-socket-factory-connector-j-6,,,,Harvard Census II,,,,
maven,com.google.code.findbugs:annotations,,,,Harvard Census II,,,,
maven,com.google.code.findbugs:bcel,,,,Harvard Census II,,,,
maven,com.google.code.findbugs:jformatstring,,,,Harvard Census II,,,,
maven,com.google.code.findbugs:jsr305,,,,Harvard Census II,,,,
maven,com.google.code.gson:gson,,,,Harvard Census II,,,,
maven,com.googlecode.json-simple:json-simple,,,,Harvard Census II,,,,
maven,com.google.errorprone:error_prone_annotations,,,,Harvard Census II,,,,
maven,com.google.guava:failureaccess,,,,Harvard Census II,,,,
maven,com.google.guava:guava,,,,Harvard Census II,,,,
maven,com.google.guava:listenablefuture,,,,Harvard Census II,,,,
maven,com.google.http-client:google-http-client-gson,,,,Harvard Census II,,,,
maven,com.google.inject:guice,,,,Harvard Census II,,,,
maven,com.google.j2objc:j2objc-annotations,,,,Harvard Census II,,,,
maven,com.google.protobuf:protobuf-java,,,,Harvard Census II,,,,
maven,com.h2database:h2,,,,Harvard Census II,,,,
maven,com.helger:profiler,,,,Harvard Census II,,,,
maven,com.ibm.icu:icu4j,,,,Harvard Census II,,,,
maven,com.jayway.jsonpath:json-path,,,,Harvard Census II,,,,
maven,com.lowagie:itext,,,,Harvard Census II,,,,
maven,com.microsoftopentechnologies:windows-azure-storage-plugin,,,,Harvard Census II,,,,
maven,commons-beanutils:commons-beanutils,,,,Harvard Census II,,,,
maven,commons-cli:commons-cli,,,,Harvard Census II,,,,
maven,commons-codec:commons-codec,,,,Harvard Census II,,,,
maven,commons-collections:commons-collections,,,,Harvard Census II,,,,
maven,commons-configuration:commons-configuration,,,,Harvard Census II,,,,
maven,commons-dbcp:commons-dbcp,,,,Harvard Census II,,,,
maven,commons-digester:commons-digester,,,,Harvard Census II,,,,
maven,commons-fileupload:commons-fileupload,,,,Harvard Census II,,,,
maven,commons-httpclient:commons-httpclient,,,,Harvard Census II,,,,
maven,commons-io:commons-io,,,,Harvard Census II,,,,
maven,commons-jelly:commons-jelly,,,,Harvard Census II,,,,
maven,commons-jelly:commons-jelly-tags-junit,,,,Harvard Census II,,,,
maven,commons-jelly:commons-jelly-tags-log,,,,Harvard Census II,,,,
maven,commons-lang:commons-lang,,,,Harvard Census II,,,,
maven,commons-logging:commons-logging,,,,Harvard Census II,,,,
maven,commons-validator:commons-validator,,,,Harvard Census II,,,,
maven,com.netflix.archaius:archaius-core,,,,Harvard Census II,,,,
maven,com.squareup.okhttp3:okhttp,,,,Harvard Census II,,,,
maven,com.squareup.okio:okio,,,,Harvard Census II,,,,
maven,com.squareup.retrofit2:converter-gson,,,,Harvard Census II,,,,
maven,com.sun.activation:jakarta.activation,,,,Harvard Census II,,,,
maven,com.sun.istack:istack-commons-runtime,,,,Harvard Census II,,,,
maven,com.sun.jdmk:jmxtools,,,,Harvard Census II,,,,
maven,com.sun.jmx:jmxri,,,,Harvard Census II,,,,
maven,com.sun.mail:jakarta.mail,,,,Harvard Census II,,,,
maven,com.sun.xml.bind:jaxb-impl,,,,Harvard Census II,,,,
maven,com.sun.xml.fastinfoset:fastinfoset,,,,Harvard Census II,,,,
maven,com.sun.xml.fastinfoset:FastInfoset,,,,Harvard Census II,,,,
maven,com.thoughtworks.paranamer:paranamer,,,,Harvard Census II,,,,
maven,com.typesafe.netty:netty-reactive-streams,,,,Harvard Census II,,,,
maven,com.vaadin.external.google:android-json,,,,Harvard Census II,,,,
maven,com.vackosar.gitflowincrementalbuilder:gitflow-incremental-builder,,,,Harvard Census II,,,,
maven,com.webcohesion.enunciate:enunciate-lombok,,,,Harvard Census II,,,,
maven,com.zaxxer:hikaricp,,,,Harvard Census II,,,,
maven,dk.brics.automaton:automaton,,,,Harvard Census II,,,,
maven,dom4j:dom4j,,,,Harvard Census II,,,,
maven,edu.washington.cs.types.checker:checker-framework,,,,Harvard Census II,,,,
maven,groovy:groovy-all-1.0-jsr,,,,Harvard Census II,,,,
maven,icu4j:icu4j,,,,Harvard Census II,,,,
maven,io.dropwizard:dropwizard-hibernate,,,,Harvard Census II,,,,
maven,io.github.java-diff-utils:java-diff-utils,,,,Harvard Census II,,,,
maven,io.micrometer:micrometer-core,,,,Harvard Census II,,,,
maven,io.netty:netty-buffer,,,,Harvard Census II,,,,
maven,io.netty:netty-codec,,,,Harvard Census II,,,,
maven,io.netty:netty-common,,,,Harvard Census II,,,,
maven,io.netty:netty-handler,,,,Harvard Census II,,,,
maven,io.netty:netty-resolver,,,,Harvard Census II,,,,
maven,io.netty:netty-transport,,,,Harvard Census II,,,,
maven,io.perfmark:perfmark-api,,,,Harvard Census II,,,,
maven,io.projectreactor.netty:reactor-netty,,,,Harvard Census II,,,,
maven,io.reactivex:rxjava,,,,Harvard Census II,,,,
maven,io.reactivex:rxjava-reactive-streams,,,,Harvard Census II,,,,
maven,io.springfox:springfox-core,,,,Harvard Census II,,,,
maven,io.springfox:springfox-schema,,,,Harvard Census II,,,,
maven,io.springfox:springfox-spi,,,,Harvard Census II,,,,
maven,io.springfox:springfox-spring-web,,,,Harvard Census II,,,,
maven,io.springfox:springfox-swagger2,,,,Harvard Census II,,,,
maven,io.springfox:springfox-swagger-common,,,,Harvard Census II,,,,
maven,io.springfox:springfox-swagger-ui,,,,Harvard Census II,,,,
